nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
120;320;4;12;1;0;3;0;true;16806687;2;12069190;76800;0;0
130;320;4;12;1;0;3;0;true;16845838;2;12099990;76800;0;0
140;320;4;12;1;0;3;0;true;16904563;2;12146190;76800;0;0
150;320;4;12;1;0;3;0;true;16943714;2;12176990;76800;0;0
160;320;4;12;1;0;3;0;true;17002438;2;12223190;76800;0;0
80;640;4;12;1;0;3;0;true;65776954;2;47133966;76800;0;0
90;640;4;12;1;0;3;0;true;65816101;2;47164766;76800;0;0
100;640;4;12;1;0;3;0;true;65874826;2;47210966;76800;0;0
110;640;4;12;1;0;3;0;true;65913977;2;47241766;76800;0;0
120;640;4;12;1;0;3;0;true;65972701;2;47287966;76800;0;0
130;640;4;12;1;0;3;0;true;66011852;2;47318766;76800;0;0
140;640;4;12;1;0;3;0;true;66070577;2;47364966;76800;0;0
150;640;4;12;1;0;3;0;true;66109728;2;47395766;76800;0;0
160;640;4;12;1;0;3;0;true;66168452;2;47441966;76800;0;0
80;320;5;12;1;0;3;0;true;16610926;2;14580941;19200;0;0
90;320;5;12;1;0;3;0;true;16659865;2;14614275;19200;0;0
100;320;5;12;1;0;3;0;true;16708804;2;14647609;19200;0;0
110;320;5;12;1;0;3;0;true;16757737;2;14680941;19200;0;0
120;320;5;12;1;0;3;0;true;16806676;2;14714275;19200;0;0
130;320;5;12;1;0;3;0;true;16855615;2;14747609;19200;0;0
140;320;5;12;1;0;3;0;true;16904554;2;14780941;249600;0;0
150;320;5;12;1;0;3;0;true;16953487;2;14814275;249600;0;0
160;320;5;12;1;0;3;0;true;17002426;2;14847609;249600;0;0
80;640;5;12;1;0;3;0;true;65776966;2;57520971;76800;0;0
90;640;5;12;1;0;3;0;true;65825905;2;57554305;76800;0;0
100;640;5;12;1;0;3;0;true;65874844;2;57587639;76800;0;0
110;640;5;12;1;0;3;0;true;65923777;2;57620971;76800;0;0
120;640;5;12;1;0;3;0;true;65972716;2;57654305;76800;0;0
130;640;5;12;1;0;3;0;true;66021655;2;57687639;76800;0;0
140;640;5;12;1;0;3;0;true;66070594;2;57720971;76800;0;0
150;640;5;12;1;0;3;0;true;66119527;2;57754305;76800;0;0
160;640;5;12;1;0;3;0;true;66168466;2;57787639;76800;0;0
80;320;10;12;1;0;3;0;true;16610946;2;12381884;230400;0;0
90;320;10;12;1;0;3;0;true;16659880;2;12413884;8465760;0;0
100;320;10;12;1;0;3;0;true;16708824;2;12467883;8465760;0;0
110;320;10;12;1;0;3;0;true;16757757;2;12521885;8465760;0;0
120;320;10;12;1;0;3;0;true;16806701;2;12575884;8465760;0;0
130;320;10;12;1;0;3;0;true;16855635;2;12629883;8465760;0;0
140;320;10;12;1;0;3;0;true;16904569;2;12664551;230400;0;0
150;320;10;12;1;0;3;0;true;16953512;2;12697884;230400;0;0
160;320;10;12;1;0;3;0;true;17002446;2;12731217;230400;0;0
80;640;10;12;1;0;3;0;true;65777006;2;48975443;33940320;0;0
90;640;10;12;1;0;3;0;true;65825940;2;48998443;33940320;0;0
100;640;10;12;1;0;3;0;true;65874884;2;49021443;33940320;0;0
110;640;10;12;1;0;3;0;true;65923817;2;49044443;33940320;0;0
120;640;10;12;1;0;3;0;true;65972761;2;49067443;33940320;0;0
130;640;10;12;1;0;3;0;true;66021695;2;49090443;33940320;0;0
140;640;10;12;1;0;3;0;true;66070629;2;49113443;33940320;0;0
150;640;10;12;1;0;3;0;true;66119572;2;49136443;33940320;0;0
160;640;10;12;1;0;3;0;true;66168506;2;49159443;33940320;0;0
80;320;1;9;0;1;3;0;true;12460557;2;25334880;1512032;0;0
90;320;1;9;0;1;3;0;true;12509495;2;25438613;1512032;0;0
100;320;1;9;0;1;3;0;true;12558433;2;25542346;1512032;0;0
110;320;1;9;0;1;3;0;true;12607369;2;25646080;1512032;0;0
120;320;1;9;0;1;3;0;true;12656307;2;25749813;1512032;0;0
130;320;1;9;0;1;3;0;true;12705245;2;25853546;1512032;0;0
140;320;1;9;0;1;3;0;true;12754183;2;25957280;1512032;0;0
150;320;1;9;0;1;3;0;true;12803119;2;26061013;1512032;0;0
160;320;1;9;0;1;3;0;true;12852057;2;26164746;1512032;0;0
80;640;1;9;0;1;3;0;true;49047781;2;98849887;6120000;0;0
90;640;1;9;0;1;3;0;true;49096719;2;98953620;741244;0;0
100;640;1;9;0;1;3;0;true;49145657;2;99057353;746804;0;0
110;640;1;9;0;1;3;0;true;49194593;2;99161087;752364;0;0
120;640;1;9;0;1;3;0;true;49243531;2;99264820;757924;0;0
130;640;1;9;0;1;3;0;true;49292469;2;99368553;821084;0;0
140;640;1;9;0;1;3;0;true;49341407;2;99472287;826644;0;0
150;640;1;9;0;1;3;0;true;49390343;2;99576020;832204;0;0
160;640;1;9;0;1;3;0;true;49439281;2;99679753;837764;0;0
80;320;2;9;0;1;3;0;true;12460550;2;13387820;6105792;0;0
90;320;2;9;0;1;3;0;true;12509488;2;13439887;6105792;0;0
100;320;2;9;0;1;3;0;true;12558426;2;13491954;6105792;0;0
110;320;2;9;0;1;3;0;true;12607363;2;13544020;6105792;0;0
